ProfileName,LevelName,FlowName
(None-Comm),Access,driver to fleet request
(None-Comm),TransNet,driver to fleet request
(None-Comm),Security,driver to fleet request
(None-Comm),Mgmt,driver to fleet request
(None-Data),Facilities,driver to fleet request
(None-Data),ITS Application Entity,driver to fleet request
(None-Data),Facilities,driver to fleet request
(None-Data),ITS Application Entity,driver to fleet request
(None-Data),Facilities,driver to fleet request
(None-Data),ITS Application Entity,driver to fleet request
(None-Data),Facilities,driver to fleet request
(None-Data),ITS Application Entity,driver to fleet request
I-M: Wireless SNMPv3/TLS,Security,driver to fleet request
I-M: Wireless SNMPv3/TLS,TransNet,driver to fleet request
I-M: Wireless SNMPv3/TLS,Access,driver to fleet request
I-M: Wireless SNMPv3/TLS,TransNet,driver to fleet request
I-M: Wireless SNMPv3/TLS,Security,driver to fleet request
I-M: Wireless SNMPv3/TLS,Mgmt,driver to fleet request
I-M: Wireless SNMPv3/TLS,Facilities,driver to fleet request
I-M: Secure Wireless Internet (EU),TransNet,driver to fleet request
I-M: Secure Wireless Internet (EU),Access,driver to fleet request
I-M: Secure Wireless Internet (EU),TransNet,driver to fleet request
I-M: Secure Wireless Internet (EU),Mgmt,driver to fleet request
I-M: Secure Wireless Internet (EU),Security,driver to fleet request
I-M: Secure Wireless Internet (ITS),TransNet,driver to fleet request
I-M: Secure Wireless Internet (ITS),Security,driver to fleet request
I-M: Secure Wireless Internet (ITS),Access,driver to fleet request
I-M: Secure Wireless Internet (ITS),Mgmt,driver to fleet request
I-M: Secure Wireless Internet (ITS),TransNet,driver to fleet request
(None-Comm),Access,on-board safety data
(None-Comm),TransNet,on-board safety data
(None-Comm),Security,on-board safety data
(None-Comm),Mgmt,on-board safety data
(None-Comm),Access,on-board safety data
(None-Comm),TransNet,on-board safety data
(None-Comm),Security,on-board safety data
(None-Comm),Mgmt,on-board safety data
(None-Comm),Access,on-board safety data
(None-Comm),TransNet,on-board safety data
(None-Comm),Security,on-board safety data
(None-Comm),Mgmt,on-board safety data
(None-Comm),Access,on-board safety data
(None-Comm),TransNet,on-board safety data
(None-Comm),Security,on-board safety data
(None-Comm),Mgmt,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
I-M: Wireless SNMPv3/TLS,Security,on-board safety data
I-M: Wireless SNMPv3/TLS,TransNet,on-board safety data
I-M: Wireless SNMPv3/TLS,Access,on-board safety data
I-M: Wireless SNMPv3/TLS,TransNet,on-board safety data
I-M: Wireless SNMPv3/TLS,Security,on-board safety data
I-M: Wireless SNMPv3/TLS,Mgmt,on-board safety data
I-M: Wireless SNMPv3/TLS,Facilities,on-board safety data
I-M: Secure Wireless Internet (EU),TransNet,on-board safety data
I-M: Secure Wireless Internet (EU),Access,on-board safety data
I-M: Secure Wireless Internet (EU),TransNet,on-board safety data
I-M: Secure Wireless Internet (EU),Mgmt,on-board safety data
I-M: Secure Wireless Internet (EU),Security,on-board safety data
I-M: Secure Wireless Internet (ITS),TransNet,on-board safety data
I-M: Secure Wireless Internet (ITS),Security,on-board safety data
I-M: Secure Wireless Internet (ITS),Access,on-board safety data
I-M: Secure Wireless Internet (ITS),Mgmt,on-board safety data
I-M: Secure Wireless Internet (ITS),TransNet,on-board safety data
US: SAE J3067 (J2735 SE),ITS Application Entity,on-board safety data
US: SAE J3067 (J2735 SE),Facilities,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
(None-Data),Facilities,on-board safety data
(None-Data),ITS Application Entity,on-board safety data
I-M: Wireless SNMPv3/TLS,Security,on-board safety data
I-M: Wireless SNMPv3/TLS,TransNet,on-board safety data
I-M: Wireless SNMPv3/TLS,Access,on-board safety data
I-M: Wireless SNMPv3/TLS,TransNet,on-board safety data
I-M: Wireless SNMPv3/TLS,Security,on-board safety data
I-M: Wireless SNMPv3/TLS,Mgmt,on-board safety data
I-M: Wireless SNMPv3/TLS,Facilities,on-board safety data
US: SAE J3067 (J2735 SE),ITS Application Entity,on-board safety data
US: SAE J3067 (J2735 SE),Facilities,on-board safety data
V-X: Local Unicast Wireless (1609.2),Security,on-board safety data
