Source,InformationFlow,Destination,SourceLayer,DestLayer
Chao Phraya Imports Commercial Vehicle Administration Center,credentials status information,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
Chao Phraya Imports Commercial Vehicle Administration Center,cv driver record,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
Chao Phraya Imports Commercial Vehicle Administration Center,route restrictions,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
Khorathidin Wholegrains and Producers Commercial Vehicle Administration Center,credentials status information,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
Khorathidin Wholegrains and Producers Commercial Vehicle Administration Center,cv driver record,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
Khorathidin Wholegrains and Producers Commercial Vehicle Administration Center,route restrictions,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
Klongtoey Movements Pty Ltd Commercial Vehicle Administration Center,credentials status information,Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Physical,Physical
Klongtoey Movements Pty Ltd Commercial Vehicle Administration Center,cv driver record,Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Physical,Physical
Klongtoey Movements Pty Ltd Commercial Vehicle Administration Center,route restrictions,Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Physical,Physical
Buri Ram Logistics Solutions Commercial Vehicle Administration Center,credentials status information,Buri Ram Logistics Solutions Fleet and Freight Management Center,Physical,Physical
Buri Ram Logistics Solutions Commercial Vehicle Administration Center,cv driver record,Buri Ram Logistics Solutions Fleet and Freight Management Center,Physical,Physical
Buri Ram Logistics Solutions Commercial Vehicle Administration Center,route restrictions,Buri Ram Logistics Solutions Fleet and Freight Management Center,Physical,Physical
Bassac Traders Inc. Commercial Vehicle Administration Center,credentials status information,Bassac Traders Inc. Fleet and Freight Management Center,Physical,Physical
Bassac Traders Inc. Commercial Vehicle Administration Center,cv driver record,Bassac Traders Inc. Fleet and Freight Management Center,Physical,Physical
Bassac Traders Inc. Commercial Vehicle Administration Center,route restrictions,Bassac Traders Inc. Fleet and Freight Management Center,Physical,Physical
Khorathidin Petroleum Commercial Vehicle Administration Center,credentials status information,Khorathidin Petroleum Fleet and Freight Management Center,Physical,Physical
Khorathidin Petroleum Commercial Vehicle Administration Center,cv driver record,Khorathidin Petroleum Fleet and Freight Management Center,Physical,Physical
Khorathidin Petroleum Commercial Vehicle Administration Center,route restrictions,Khorathidin Petroleum Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,road network conditions,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,incident information for public,Chao Phraya Imports Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,road network conditions,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,incident information for public,Khorathidin Wholegrains and Producers Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,road network conditions,Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,incident information for public,Klongtoey Movements Pty Ltd Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,road network conditions,Buri Ram Logistics Solutions Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,incident information for public,Buri Ram Logistics Solutions Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,road network conditions,Bassac Traders Inc. Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,incident information for public,Bassac Traders Inc. Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,road network conditions,Khorathidin Petroleum Fleet and Freight Management Center,Physical,Physical
Khorathidin Transportation Information Center,incident information for public,Khorathidin Petroleum Fleet and Freight Management Center,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,fleet to driver update,CPI V01 EQ01 - Commercial Vehicle OBE,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,fleet status,Ananda Chaisuriyakul - Fleet-Freight Manager,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,cv repair status,Chao Phraya Imports Commercial Vehicle Administration Center,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,fleet to driver update,CPI V02 EQ02 - Commercial Vehicle OBE,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,fleet to driver update,CPI V03 EQ03 - Commercial Vehicle OBE,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,fleet to driver update,CPI V04 EQ04 - Commercial Vehicle OBE,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,fleet to driver update,CPI V05 EQ05 - Commercial Vehicle OBE,Physical,Physical
Chao Phraya Imports Fleet and Freight Management Center,fleet to driver update,CPI V06 EQ06 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 01 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet status,Supalak Wattanachai - Fleet-Freight Manager,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,cv repair status,Khorathidin Wholegrains and Producers Commercial Vehicle Administration Center,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 02 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 03 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 04 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 05 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 06 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 07 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 08 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 09 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Wholegrains and Producers Fleet and Freight Management Center,fleet to driver update,KWP Sensor 10 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM01 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet status,Kritsada Thongchai - Fleet-Freight Manager,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,cv repair status,Klongtoey Movements Pty Ltd Commercial Vehicle Administration Center,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM02 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM03 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM04 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM05 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM06 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM07 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM08 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM09 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM10 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM11 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM12 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM13 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM14 - Commercial Vehicle OBE,Physical,Physical
Klongtoey Movements Pty Ltd Fleet and Freight Management Center,fleet to driver update,KM15 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0001 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet status,Napat Srisuwan - Fleet-Freight Manager,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,cv repair status,Buri Ram Logistics Solutions Commercial Vehicle Administration Center,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0002 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0003 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0003 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0005 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0006 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0007 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0008 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0009 - Commercial Vehicle OBE,Physical,Physical
Buri Ram Logistics Solutions Fleet and Freight Management Center,fleet to driver update,BRLS0010 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen01 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet status,Pimchanok Boonyarat - Fleet-Freight Manager,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,cv repair status,Bassac Traders Inc. Commercial Vehicle Administration Center,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen02 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen03 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen04 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen05 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen06 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen07 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen08 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen 09 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen10 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen11 - Commercial Vehicle OBE,Physical,Physical
Bassac Traders Inc. Fleet and Freight Management Center,fleet to driver update,BasSen12 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 001 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet status,Thanakorn Rattanapong - Fleet-Freight Manager,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,cv repair status,Khorathidin Petroleum Commercial Vehicle Administration Center,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 002 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 003 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 004 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 005 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 006 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 007 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 008 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 009 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 010 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 011 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 012 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 013 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 014 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 015 - Commercial Vehicle OBE,Physical,Physical
Khorathidin Petroleum Fleet and Freight Management Center,fleet to driver update,KPetrol Mon 016 - Commercial Vehicle OBE,Physical,Physical
